id,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,taxon_kingdom_name,taxon_phylum_name,taxon_subphylum_name,taxon_class_name,taxon_order_name,taxon_family_name,taxon_genus_name,taxon_species_name
237510083,Jungle flame,Ixora coccinea,Jungle flame,Plantae,133309,Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Gentianales,Rubiaceae,Ixora,Ixora coccinea
237510521,,Mangifera indica,Indian mango,Plantae,48872,Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Sapindales,Anacardiaceae,Mangifera,Mangifera indica
237510565,,,,,,,,,,,,,
237510763,Wandering Glider,Pantala flavescens,Wandering Glider,Insecta,108344,Animalia,Arthropoda,Hexapoda,Insecta,Odonata,Libellulidae,Pantala,Pantala flavescens
237511698,Ixora coccinea coccinea,Ixora coccinea coccinea,,Plantae,323029,Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Gentianales,Rubiaceae,Ixora,Ixora coccinea
237511721,Indian mango,Mangifera indica,Indian mango,Plantae,48872,Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Sapindales,Anacardiaceae,Mangifera,Mangifera indica
237515098,Butterflies,Papilionoidea,Butterflies,Insecta,47224,Animalia,Arthropoda,Hexapoda,Insecta,Lepidoptera,,,
237515630,Central American Gulf Coast Toad,Incilius valliceps,Central American Gulf Coast Toad,Amphibia,65860,Animalia,Chordata,Vertebrata,Amphibia,Anura,Bufonidae,Incilius,Incilius valliceps
237515775,Hairy-headed leafcutter ant,Atta cephalotes,Hairy-headed leafcutter ant,Insecta,153974,Animalia,Arthropoda,Hexapoda,Insecta,Hymenoptera,Formicidae,Atta,Atta cephalotes
237517095,Malachite,Fabaceae,legumes,Plantae,47122,Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Fabales,Fabaceae,,
237518376,Firebush,Siproeta stelenes,Malachite,Insecta,50336,Animalia,Arthropoda,Hexapoda,Insecta,Lepidoptera,Nymphalidae,Siproeta,Siproeta stelenes
237518649,Brown Heart,Asteroideae,,Plantae,632790,Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Asterales,Asteraceae,,
237518704,coconut palm,Ingeae,,Plantae,521661,Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Fabales,Fabaceae,,
237518826,Star of Bethlehem,Hamelia patens,Firebush,Plantae,126305,Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Gentianales,Rubiaceae,Hamelia,Hamelia patens
237518874,flowering plants,Pontederia,,Plantae,52602,Plantae,Tracheophyta,Angiospermae,Liliopsida,Commelinales,Pontederiaceae,Pontederia,
237519098,Wolf Spiders,Andira inermis,Brown Heart,Plantae,158336,Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Fabales,Fabaceae,Andira,Andira inermis
237519153,Sabal mauritiiformis,Phyla,frogfruits,Plantae,59041,Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Lamiales,Verbenaceae,Phyla,
237519433,Grass Skippers,Cocos nucifera,coconut palm,Plantae,48865,Plantae,Tracheophyta,Angiospermae,Liliopsida,Arecales,Arecaceae,Cocos,Cocos nucifera
237519436,Figs,Hippobroma longiflora,Star of Bethlehem,Plantae,154827,Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Asterales,Campanulaceae,Hippobroma,Hippobroma longiflora
237519492,Zebra Longwing,Hippobroma longiflora,Star of Bethlehem,Plantae,154827,Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Asterales,Campanulaceae,Hippobroma,Hippobroma longiflora
237519591,Leaf Beetles,Hippobroma longiflora,Star of Bethlehem,Plantae,154827,Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Asterales,Campanulaceae,Hippobroma,Hippobroma longiflora
237519644,Freyina,Angiospermae,flowering plants,Plantae,47125,Plantae,Tracheophyta,Angiospermae,,,,,
237519682,Tarkas maculatipes,Christella dentata,Soft Fern,Plantae,369851,Plantae,Tracheophyta,,Polypodiopsida,Polypodiales,Thelypteridaceae,Christella,Christella dentata
237519699,Cleome serrata,Coenagrionidae,Narrow-winged Damselflies,Insecta,47925,Animalia,Arthropoda,Hexapoda,Insecta,Odonata,Coenagrionidae,,
237519711,three-seeded mercuries,Chaptalia,,Plantae,121997,Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Asterales,Asteraceae,Chaptalia,
237519804,Skimmers,Lycosidae,Wolf Spiders,Arachnida,47416,Animalia,Arthropoda,Chelicerata,Arachnida,Araneae,Lycosidae,,
237519826,Erythrogonia,Sabal mauritiiformis,,Plantae,277083,Plantae,Tracheophyta,Angiospermae,Liliopsida,Arecales,Arecaceae,Sabal,Sabal mauritiiformis
237519902,Flat-backed Millipedes,Lamiaceae,mint family,Plantae,48623,Plantae,Tracheophyta,Angiospermae,Magnoliopsida,Lamiales,Lamiaceae,,
237519953,Stridulating Slantface Grasshoppers,Alpinia,Shell Gingers,Plantae,123736,Plantae,Tracheophyta,Angiospermae,Liliopsida,Zingiberales,Zingiberaceae,Alpinia,
