id,observed_on_string,user_id,quality_grade,latitude,longitude,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,taxon_kingdom_name,taxon_phylum_name,taxon_class_name,taxon_order_name,taxon_family_name,taxon_genus_name,taxon_species_name
310239853,2025-08-30T10:35,7443229,needs_id,17.274805,-88.463425,Nymphoides,Nymphoides,,Plantae,62370,Plantae,Tracheophyta,Magnoliopsida,Asterales,Menyanthaceae,Nymphoides,
310240059,2025-08-30T10:36,7443229,needs_id,17.2747,-88.4634466667,,Myriophyllum alterniflorum,Alternate Water-milfoil,Plantae,165601,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Haloragaceae,Myriophyllum,Myriophyllum alterniflorum
310295156,2025-08-29 16:50:38,3964011,research,17.25282694,-88.50536152,Davilla kunthii,Davilla kunthii,,Plantae,207766,Plantae,Tracheophyta,Magnoliopsida,Dilleniales,Dilleniaceae,Davilla,Davilla kunthii
310308007,2025-08-30 05:20:45,3964011,research,17.2559087651,-88.4933284298,Crassicrus,Crassicrus,,Arachnida,250115,Animalia,Arthropoda,Arachnida,Araneae,Theraphosidae,Crassicrus,
310309079,2025-08-30 08:03:44,3964011,research,17.248685247,-88.5065932944,Pink Sundew,Drosera capillaris,Pink Sundew,Plantae,162094,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Droseraceae,Drosera,Drosera capillaris
310342958,2025-08-30T13:32,8634450,research,17.2503533333,-88.5070116667,Executioner Paper Wasp,Polistes carnifex,Executioner Paper Wasp,Insecta,266357,Animalia,Arthropoda,Insecta,Hymenoptera,Vespidae,Polistes,Polistes carnifex
310343515,2025-08-30T11:35,8634450,research,17.27447,-88.4629833333,Stippled Gambusia,Gambusia sexradiata,Stippled Gambusia,Actinopterygii,317110,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae,Gambusia,Gambusia sexradiata
310343577,2025-08-30T10:28,8634450,research,17.2744583333,-88.4629833333,Mexican White-lipped Frog,Leptodactylus fragilis,Mexican White-lipped Frog,Amphibia,22976,Animalia,Chordata,Amphibia,Anura,Leptodactylidae,Leptodactylus,Leptodactylus fragilis
310343614,2025-08-30T11:36,8634450,research,17.2505466667,-88.5072466667,Yellow Fly of the Dismal Swamp,Diachlorus ferrugatus,Yellow Fly of the Dismal Swamp,Insecta,258381,Animalia,Arthropoda,Insecta,Diptera,Tabanidae,Diachlorus,Diachlorus ferrugatus
310344474,2025-08-30 11:40:00-06:00,8634450,research,17.2742116667,-88.4639966667,Bigclaw River Shrimp,Macrobrachium carcinus,Bigclaw River Shrimp,Animalia,224298,Animalia,Arthropoda,Malacostraca,Decapoda,Palaemonidae,Macrobrachium,Macrobrachium carcinus
310344790,2025-08-30 11:42:00-06:00,8634450,research,17.2742783333,-88.4642866667,Floatingheart,Nymphoides humboldtiana,Floatingheart,Plantae,807297,Plantae,Tracheophyta,Magnoliopsida,Asterales,Menyanthaceae,Nymphoides,Nymphoides humboldtiana
310345249,2025-08-30 09:44:00-06:00,8634450,research,17.2752216667,-88.4641716667,Spurred Catasetum,Catasetum integerrimum,Spurred Catasetum,Plantae,276531,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Catasetum,Catasetum integerrimum
310345374,2025-08-30 10:45:00-06:00,8634450,needs_id,17.2752616667,-88.46415,"",Frieseomelitta nigra,Black Slender-Stingless bee,Insecta,500846,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Frieseomelitta,Frieseomelitta nigra
310345608,2025-08-30 10:27:00-06:00,8634450,research,17.2753866667,-88.4636383333,Peten Dancer,Argia gaumeri,Peten Dancer,Insecta,197739,Animalia,Arthropoda,Insecta,Odonata,Coenagrionidae,Argia,Argia gaumeri
310345805,2025-08-30 10:48:00-06:00,8634450,research,17.27508,-88.4632633333,Band-winged Dragonlet,Erythrodiplax umbrata,Band-winged Dragonlet,Insecta,50342,Animalia,Arthropoda,Insecta,Odonata,Libellulidae,Erythrodiplax,Erythrodiplax umbrata
310346330,2025-08-30T09:51,8634450,research,17.2746,-88.46312,Northeastern Bladderwort,Utricularia resupinata,Northeastern Bladderwort,Plantae,170091,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lentibulariaceae,Utricularia,Utricularia resupinata
310346414,2025-08-30 11:52:00-06:00,8634450,research,17.275405,-88.4638833333,Heteropterys lindeniana,Heteropterys lindeniana,,Plantae,285436,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Malpighiaceae,Heteropterys,Heteropterys lindeniana
310346514,2025-08-29 16:53:40,8322517,needs_id,17.2533651968,-88.5048706457,Senega longicaulis,Senega longicaulis,,Plantae,1569270,Plantae,Tracheophyta,Magnoliopsida,Fabales,Polygalaceae,Senega,Senega longicaulis
310346529,2025-08-29 17:30:47,8322517,needs_id,17.25411858,-88.50119592,Ouratea,Ouratea,,Plantae,83873,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Ochnaceae,Ouratea,
