"Timestamp","Which Bioblitz activities did you participate in?","Did you take photographs of plants and/or animals during the Bioblitz? ","Did you upload your observations to iNaturalist?","How much did you enjoy the event?","How safe did you feel during the event?","How educational was the event for you?","Based on your experiences, how likely are you to participate in a 2025 Bioblitz next year?","What did you like about the Bioblitz?","What did you NOT like about the Bioblitz?","What could we improve on, for next year?"
"2024/08/29 4:12:36 PM CST","Friday Bioblitz;Night Bioblitz;Saturday Bioblitz","Yes","Yes","5","4","4","5","Saw lots of new, exciting things","The garbage and smell by the creek","Get to see more of the creek. Activities were too short, especially Saturday"
"2024/08/29 4:15:01 PM CST","Friday Bioblitz;Bird Bioblitz;Saturday Bioblitz","Yes","Yes","5","4","5","5","It gave me the opportunity to get to know other persons who are also doing conservation work.","The rest room at the school was not clean.","Maybe provide transportation to get more people involved."
"2024/08/29 4:18:22 PM CST","Friday Bioblitz;Night Bioblitz;Bird Bioblitz;Saturday Bioblitz","Yes","Yes","5","4","5","4","Learning about different species","I think elaborating more on what is expected from participants would have been helpful ",""
"2024/08/29 4:34:16 PM CST","Friday Bioblitz","Yes","Yes","5","5","5","5","Gathering together for science!","-","-"
"2024/08/29 4:40:22 PM CST","Friday Bioblitz","Yes","Yes","5","5","4","5","Although it was insects I mostly saw, I was amazed by the biodiversity of insects in just a small section of grassland. Talking about the cool finds with the other members of the group was fun too!","For my group we had to pass behind people’s houses, so I’m guessing it’s in their yard. I’m not sure how understanding people can be for events like this. But luckily no one was around or angry about us passing through their property. I was just a little skeptical about that. ","A more punctual start for each event, and advertising the Bioblitz earlier in the year and also consistently advertising to increase the amount of people showing up and participating. Maybe even collecting some specimens and talking about them after everyone has returned back to the starting point."
"2024/08/29 4:41:57 PM CST","Friday Bioblitz;Saturday Bioblitz","Yes","Yes","5","4","5","5","Looking for insects to photograph","Seeing garbage here and there","Security considerations and dynamic group planning so each group can cover several focuses at once (insects, birds/mammals, plants, aquatic testing, etc)"
"2024/08/29 4:42:35 PM CST","Bird Bioblitz;Saturday Bioblitz","No","No","5","4","5","4","The booths and how educational it was","The area maybe, I thought it was gonna be more jungle looking","Maybe more booths n invite more people over "
"2024/08/29 4:45:16 PM CST","Saturday Bioblitz","Yes","Yes","4","4","5","4","I liked the hands on experience the Bioblitz presented. It was enjoyable to go out and explore the biodiversity present at Mt. Pleasant Creek. I also like the execution of the event was properly planned out and I commend the Environmental Club’s Executive team as well as the experts present. Thank you for presenting new opportunities and activities for your members!!","I think that instead of the team scattering to make observations maybe we can stick together a bit more and do the observations together. Or have a time dedicated for this before scattering.","There isn’t much recommendations because it was an excellent event. My only recommendation is to make the conduction of the observations together in order to ensure everyone has more interaction and have the experts give more details on the species observed."
"2024/08/29 5:04:04 PM CST","Friday Bioblitz;Saturday Bioblitz","Yes","Yes","4","4","4","5","","",""
"2024/08/29 6:14:59 PM CST","Friday Bioblitz;Night Bioblitz;Bird Bioblitz;Saturday Bioblitz","Yes","Yes","4","3","4","3","seeing the different types of animals that we have around our community ","the rain","provide water "
"2024/08/29 8:30:37 PM CST","Friday Bioblitz;Night Bioblitz;Saturday Bioblitz","Yes","","5","5","4","5","Seeing people getting excited about what they were finding and learning from others.","Not having a macro lens for my phone ","I would focus more on aquatic flora and fauna."
"2024/08/29 9:25:08 PM CST","Bird Bioblitz","No","No","5","5","5","5","Being out in the open and sharing  the enthusiasm of all the other participants ","That I didn’t sing up for other activities 😀","From a birding perspective I think it was well organized "
"2024/08/31 11:30:55 AM CST","Friday Bioblitz;Night Bioblitz","Yes","Yes","5","5","5","5","I enjoyed seeing the different types of species that were at Mount Pleasant Creek. I had no idea so many animals were there. It was so much fun!","The event itself was amazing. There is nothing I did not like.","Handle the sign-ups in a different way. Also, to get organizers that are more dedicated to the planning stage. "
"2024/08/31 4:51:13 PM CST","Night Bioblitz","Yes","Yes","5","5","5","5","","",""
"2024/09/02 10:46:25 AM CST","Saturday Bioblitz","Yes","No, but I intend to","5","5","5","5","The community participation in the Bioblitz","N/A","Promotion of the event"
"2024/09/03 3:27:29 PM CST","Friday Bioblitz;Bird Bioblitz","Yes","Yes","5","5","5","5","The participation of everyone and also the knowledge shared from all the experts! I got to learn a lot","Mosquitoes 😅","-"
"2024/09/03 4:44:32 PM CST","Friday Bioblitz;Night Bioblitz;Bird Bioblitz;Saturday Bioblitz","Yes","Yes","5","4","5","5","The community feel","","More feedback on the day "
"2024/09/04 5:27:53 PM CST","Friday Bioblitz;Saturday Bioblitz","Yes","Yes","3","4","3","4","I liked the field work section ,where we had to be turning over logs and other objects to find species and upload them to the inaturalists app . ","-","-"
